"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","button_pressed","left_image","right_image","target_label","target_side","correct_response","background","correct","center_image"
"","audio-button-response-flexiblelocations","65","974935","0.0-65.0","2615","stimuli/sounds/where_teebu.wav","2","nov8_square","nov9_square","teebu_blue","right","2","black-background","true",""
"","audio-button-response-flexiblelocations","66","979205","0.0-66.0","3766","stimuli/sounds/where_fisp.wav","0","nov10_square","nov7_square","fisp_red","left","0","black-background","true",""
"","audio-button-response-flexiblelocations","67","984212","0.0-67.0","null","stimuli/sounds/greatjob.wav","null","LballoonsBlack","RballoonsBlack","AG","center","1","black-background","false","black"
"","audio-button-response-flexiblelocations","68","990717","0.0-68.0","null","stimuli/sounds/choose_person.wav","null","girl1","girl2","none","center","1","black-background","false","black"
"","audio-button-response-flexiblelocations","69","1001099","0.0-69.0","9879","stimuli/sounds/whoknowsmore.wav","0","girl1","girl2","redspeaker","left","0","black-background","true",""
"","audio-button-response-flexiblelocations","70","1005333","0.0-70.0","3729","stimuli/sounds/whoknowsmore.wav","2","girl1","girl2","bluespeaker","right","2","black-background","true",""
"","audio-button-response-flexiblelocations","71","1013435","0.0-71.0","7598","stimuli/sounds/whoknows_bluetoys.wav","2","girl1","girl2","bluespeaker","left","2","black-background","true",""
"","audio-button-response-flexiblelocations","72","1016871","0.0-72.0","2932","stimuli/sounds/whoknows_redtoys.wav","0","girl1","girl2","redspeaker","right","0","black-background","true",""
"","audio-button-response-flexiblelocations","73","1021879","0.0-73.0","null","stimuli/sounds/alldone.wav","null","LbeachBlack","RbeachBlack","AG","center","1","black-background","false","black"
"true","fullscreen","74","1023383","0.0-74.0","","","","","","","","","","",""
